Sports Name,total,5-8,9-11,12-14,15-17
"Athletics, track and field",205395.66594733647,53332.220154018054,45772.153888572924,37553.679697116415,49060.452473042096
Badminton,110037.485918658,7797.761539946612,7244.605036083998,14028.111060981313,73825.68744003634
Basketball,502498.05061802757,97252.94885503683,105177.42449771386,124325.81953605931,160131.82992808925
Boxing,31055.550569895546,3847.392571603853,5355.226062252418,7166.201064330078,13532.802886150666
Canoeing/Kayaking,18551.132119576992,743.3233040277586,1899.9416695863224,1949.0466710309213,12637.18500817654
Cycling,142215.55765393085,29391.657772440132,18700.215850467994,15343.821910755887,59186.91766716049
Diving,3721.3105616773028,662.7031088871256,1178.5156451065864,1113.9369812582975,0.0
Equestrian,17829.114849067882,2971.942781333762,5792.408186692024,2419.0230030993184,3606.6263384778595
Fencing,8220.363876748092,0.0,520.9941401060474,1944.3872214164808,3644.1606725258534
Football/soccer,882297.6466790611,239439.89781655007,217361.96892803066,161372.96311889595,181202.17443822042
Gymnastics,364193.71984295547,142163.81618045483,72125.78028363739,27759.478988211253,22203.923642401365
Handball,16163.858207443038,1028.4283652555685,2334.3046124990747,2014.5049784180562,10786.620251270338
Judo,9444.496504701281,3652.842504909151,381.48510298807105,2065.892321596046,1940.905940983962
Modern pentathlon,0.0,0.0,0.0,0.0,0.0
Rowing,12646.587305271456,0.0,0.0,5501.975989961497,7144.611315309958
Sailing,7864.1723355724025,480.63873930495294,3305.0836169379313,1129.122228185906,2949.327751143613
Swimming,1323228.2727433713,424759.81544578186,265815.7830046219,108559.4792913975,186302.2889371907
Synchronised swimming,4648.800719679082,1292.5935919043354,508.66394678876424,842.0074560329333,0.0
Table tennis,73186.3630008505,3724.8747225226084,8254.518613012904,8912.065230189115,51713.23766966056
Taekwondo/Taekwon-do,47216.999876368725,15716.88137609166,13664.125890844234,8210.953449690052,7297.410651482327
Tennis,281489.07497089286,58743.51165898919,61724.96171116176,59618.50185241772,89227.4830552064
Triathlon,1371.6754510313579,0.0,0.0,709.4908392077082,0.0
Volleyball (indoor and outdoor),130546.70784234631,2362.9726666452416,10068.970233654012,21437.663433556398,94899.79575592362
Water polo,10445.561011992093,1138.236450830439,3648.0422596088574,3039.6344088925207,1986.502748442406
Weight lifting,15371.021361859905,0.0,632.770774382256,543.8383246547139,14194.412262822934
Wrestling,1810.024418394083,0.0,0.0,337.2700035000414,1472.7544148940417
Shooting,6705.616187121561,0.0,1140.247244185177,2181.7700962693025,3383.5988466670815
